Epoch,Training RMSE,Validation RMSE,Hidden Size,Number of Layers,Learning Rate,Sequence Length,Batch Size
200,0.4130,0.4589,16,3,1e-05,60,32
250,0.3961,0.4528,16,3,1e-05,60,32
300,0.3798,0.4454,16,3,1e-05,60,32
350,0.3634,0.4360,16,3,1e-05,60,32
400,0.3475,0.4258,16,3,1e-05,60,32
450,0.3327,0.4163,16,3,1e-05,60,32
500,0.3196,0.4088,16,3,1e-05,60,32
550,0.3081,0.4039,16,3,1e-05,60,32
600,0.2977,0.4011,16,3,1e-05,60,32
50,0.4042,0.4532,16,3,5e-05,60,32
100,0.3325,0.4116,16,3,5e-05,60,32
150,0.2842,0.3972,16,3,5e-05,60,32
200,0.2371,0.3958,16,3,5e-05,60,32
250,0.2082,0.3959,16,3,5e-05,60,32
300,0.1901,0.3992,16,3,5e-05,60,32
350,0.1774,0.4025,16,3,5e-05,60,32
400,0.1681,0.4075,16,3,5e-05,60,32
450,0.1609,0.4146,16,3,5e-05,60,32
500,0.1553,0.4234,16,3,5e-05,60,32
550,0.1506,0.4319,16,3,5e-05,60,32
600,0.1464,0.4396,16,3,5e-05,60,32
50,0.3472,0.4126,16,3,0.0001,60,32
100,0.2625,0.3989,16,3,0.0001,60,32
150,0.1981,0.3990,16,3,0.0001,60,32
200,0.1738,0.4017,16,3,0.0001,60,32
250,0.1580,0.4162,16,3,0.0001,60,32
300,0.1505,0.4449,16,3,0.0001,60,32
350,0.1437,0.4600,16,3,0.0001,60,32
400,0.1373,0.4648,16,3,0.0001,60,32
450,0.1318,0.4669,16,3,0.0001,60,32
500,0.1269,0.4701,16,3,0.0001,60,32
550,0.1223,0.4754,16,3,0.0001,60,32
600,0.1179,0.4814,16,3,0.0001,60,32
50,0.2422,0.3874,16,3,0.0003,60,32
100,0.1892,0.4134,16,3,0.0003,60,32
150,0.1498,0.4261,16,3,0.0003,60,32
200,0.1299,0.4467,16,3,0.0003,60,32
250,0.1225,0.4580,16,3,0.0003,60,32
300,0.1050,0.4487,16,3,0.0003,60,32
350,0.0972,0.4534,16,3,0.0003,60,32
400,0.0930,0.4584,16,3,0.0003,60,32
450,0.0888,0.4573,16,3,0.0003,60,32
500,0.0846,0.4647,16,3,0.0003,60,32
550,0.1010,0.4474,16,3,0.0003,60,32
600,0.0850,0.4629,16,3,0.0003,60,32
50,0.1968,0.3984,16,3,0.0005,60,32
100,0.1383,0.3905,16,3,0.0005,60,32
150,0.1307,0.3925,16,3,0.0005,60,32
200,0.1267,0.4323,16,3,0.0005,60,32
250,0.1093,0.4178,16,3,0.0005,60,32
300,0.1009,0.4171,16,3,0.0005,60,32
350,0.0956,0.4069,16,3,0.0005,60,32
400,0.0981,0.4161,16,3,0.0005,60,32
450,0.0956,0.4021,16,3,0.0005,60,32
500,0.0830,0.4072,16,3,0.0005,60,32
550,0.0804,0.4064,16,3,0.0005,60,32
600,0.0840,0.4147,16,3,0.0005,60,32
50,0.1582,0.3910,16,3,0.001,60,32
100,0.1786,0.3882,16,3,0.001,60,32
150,0.1126,0.4222,16,3,0.001,60,32
200,0.0954,0.4198,16,3,0.001,60,32
250,0.0896,0.4343,16,3,0.001,60,32
300,0.0903,0.4212,16,3,0.001,60,32
350,0.0921,0.4308,16,3,0.001,60,32
400,0.0739,0.4181,16,3,0.001,60,32
450,0.0844,0.4164,16,3,0.001,60,32
500,0.0659,0.4155,16,3,0.001,60,32
550,0.0900,0.4476,16,3,0.001,60,32
600,0.0612,0.4202,16,3,0.001,60,32
50,0.6631,0.5451,16,2,1e-05,60,32
100,0.5102,0.5610,16,2,1e-05,60,32
150,0.4517,0.4987,16,2,1e-05,60,32
200,0.4247,0.4652,16,2,1e-05,60,32
250,0.4096,0.4518,16,2,1e-05,60,32
300,0.3985,0.4459,16,2,1e-05,60,32
350,0.3890,0.4426,16,2,1e-05,60,32
400,0.3803,0.4404,16,2,1e-05,60,32
450,0.3717,0.4384,16,2,1e-05,60,32
500,0.3627,0.4360,16,2,1e-05,60,32
550,0.3531,0.4331,16,2,1e-05,60,32
600,0.3429,0.4293,16,2,1e-05,60,32
50,0.4117,0.4499,16,2,5e-05,60,32
100,0.3662,0.4372,16,2,5e-05,60,32
150,0.3184,0.4187,16,2,5e-05,60,32
200,0.2738,0.4053,16,2,5e-05,60,32
250,0.2344,0.4033,16,2,5e-05,60,32
300,0.2008,0.4101,16,2,5e-05,60,32
350,0.1781,0.4143,16,2,5e-05,60,32
400,0.1627,0.4173,16,2,5e-05,60,32
450,0.1524,0.4184,16,2,5e-05,60,32
500,0.1450,0.4204,16,2,5e-05,60,32
550,0.1400,0.4244,16,2,5e-05,60,32
600,0.1360,0.4279,16,2,5e-05,60,32
50,0.3732,0.4381,16,2,0.0001,60,32
100,0.2846,0.4050,16,2,0.0001,60,32
150,0.2081,0.4040,16,2,0.0001,60,32
200,0.1680,0.4093,16,2,0.0001,60,32
250,0.1498,0.4214,16,2,0.0001,60,32
300,0.1402,0.4195,16,2,0.0001,60,32
350,0.1332,0.4323,16,2,0.0001,60,32
400,0.1254,0.4486,16,2,0.0001,60,32
450,0.1224,0.4610,16,2,0.0001,60,32
500,0.1139,0.4640,16,2,0.0001,60,32
550,0.1125,0.4640,16,2,0.0001,60,32
600,0.1081,0.4611,16,2,0.0001,60,32
50,0.2689,0.3869,16,2,0.0003,60,32
100,0.1654,0.3921,16,2,0.0003,60,32
150,0.1366,0.3989,16,2,0.0003,60,32
200,0.1160,0.4043,16,2,0.0003,60,32
250,0.1111,0.4140,16,2,0.0003,60,32
300,0.0986,0.4468,16,2,0.0003,60,32
350,0.1020,0.4295,16,2,0.0003,60,32
400,0.0875,0.4394,16,2,0.0003,60,32
450,0.0880,0.4386,16,2,0.0003,60,32
500,0.0774,0.4378,16,2,0.0003,60,32
